Title,Review
임영웅아임 히어로 더 스타디움,팬들을 생각하는 마음이 진심이라는걸 다시 한번 느끼고 감동 받았어요 지금도 좋은 점이 차고 넘치는데 더 좋아졌어요 앞으로도 좋은 공연 기대하며 응원합니다
임영웅아임 히어로 더 스타디움,이름처럼 산다 엄마의 청춘을 알아주는 임영웅이 너무좋더라 진정한 히어로
임영웅아임 히어로 더 스타디움,영화관내 모든 연령의 엄마들을 소녀로 만들어주는 영화 진짜 영웅 히어로였다
임영웅아임 히어로 더 스타디움,임영웅 아임히어로더스타디움 공연 영화는 팬들을 향한 진심과 아티스트 로써 전심을 합해 감동과 전률을 느끼게 해준다 눈과 귀가 즐겁고 가슴을 울리는 영화
임영웅아임 히어로 더 스타디움,임영웅 최고입니다  영화 다시 보겠습니다
임영웅아임 히어로 더 스타디움,임영웅의 노력과 진심이 느껴졌다
임영웅아임 히어로 더 스타디움,팬들을 사랑하는 마음이 진심이라는 마음이 느껴지고 영화를 보고 감동을 받았어요
임영웅아임 히어로 더 스타디움,임영웅은역시임영웅이라는걸영화보며다시한번확인 라이브실력영상미그리고멋진아티스트준비과정 모든게퍼팩트
임영웅아임 히어로 더 스타디움,최고의영상감동입니다
임영웅아임 히어로 더 스타디움,명품가수 임영웅의 아임 히어로 더스타디움은 볼때마다 행복하고 볼때마다 놀라움이네요 하나하나 섬세하지만 철저한 준비로 행복을주려 노력한 모습에 또 반합니다 모든날 모든순간 사랑합니다
임영웅아임 히어로 더 스타디움,몇번을 봐도 또 보고싶은 영화 현장에서 느끼지 못했던 무대 뒷이야기 콘서트에서 놓쳤던 장면들 그날의 기억이 생생합니다 음향을 뚫고 나오는 가창력 모두 최고입니다
임영웅아임 히어로 더 스타디움,너무너무 감동입니다 역시 임영웅
임영웅아임 히어로 더 스타디움,보는내내 감동받고 행복 가득한맘 안고 돌아왔습니다 임영웅 건행
임영웅아임 히어로 더 스타디움,임영웅 상암콘서트와 스토리 영화로 보니 대단했다 광대한 스케일 하며 상암 경기장 트랙을 뛰어다니며 노래하는 팬서비스가 감동적 호흡은 안정적 열정은 폭발적 설렘은 관객의 선물
임영웅아임 히어로 더 스타디움,상암콘서트 제작과정과 임영웅의 노력과 의지를 더 자세히 알 수 있었고 좋은 음향과 화려한 무대를 재현해 놓은 것 같아서 좋았읍니다
임영웅아임 히어로 더 스타디움,영화 보는 내내 감동이었어요 임영웅 최고의 아티스트라는걸 새삼 더 느끼게 되네요
임영웅아임 히어로 더 스타디움,임영웅 정말 대단한 아티스트 영화 보고 다시 한번 감동입니다 콘서트도 꼭 다 보고 싶어요 응원합니다
임영웅아임 히어로 더 스타디움,영상미 구성 가수의 진정성 무엇보다도 라이브 목소리 미쳤다 우리 모두를 히어로로 만드는 마력 감동입니다 임영웅 춤선이 이쁘고 카리스마까지 발전해나가는 모습 굿입니다
임영웅아임 히어로 더 스타디움,상암콘에서의 감동을 영화로 볼수있어서 넘 감동이었습니다 봐도봐도 또 보고싶은 임영웅 재미있게 잘 봣습니다
임영웅아임 히어로 더 스타디움,두시간이 이렇게 짧았나 감탄의 연속이었다 임영웅 하길 잣했다
임영웅아임 히어로 더 스타디움,임영웅 아임히어로 더 스타디움 영화 무대가 올림픽 경기 보는것처럼 스케일도 대단하고 혼자서 시간을 이끌어간 콘서트 불구하고 라이브 진짜 미쳤다 마지막곡은 내인생을 되돌아보는
임영웅아임 히어로 더 스타디움,현장의 생생함과 감동이 다시 재현되는 목소리가 근사한 임영웅 또 한번 반하고 갑니다 
임영웅아임 히어로 더 스타디움,임영웅 아임 히어로 더 스타디움 년여동안 준비해온 상암콘서트 감동 그 자체
임영웅아임 히어로 더 스타디움,임영웅 가수가 정말 노래를 잘하며 왜 그가 최고로 평가받는지 알수있었다 콘서트 못보신분 꼭 보시길 추천
임영웅아임 히어로 더 스타디움,임영웅 처럼 알차고 품격있는 영화
임영웅아임 히어로 더 스타디움,영화를 좋아하지 않는 사람도 노래를 좋아하지 않는 사람도 한번은 호기심으로라도 꼭 봐야 하는 영화 강력 추천합니다 결코 후회하지 않는 선택이 될것입니다 설렘 감동 힐링 다되는
임영웅아임 히어로 더 스타디움,콘서트때의감동이 생각나고 다시봐도 즐거운 영화 잘봤어요 몇번을 봐도 또다시 감동입니다
임영웅아임 히어로 더 스타디움,임영웅 가수 히어로급 최고의 영화였습니다 설레임과 감동으로 다가온 순간순간들 최고였습니다
임영웅아임 히어로 더 스타디움,공연의 패러다임을 바꾼 스케일 올림픽이냐 감성을 담아내는 때론 흥겨움 폭발 우중 공연 뭉클함 오래오래 기억될 영화 모든 분에 강추요
임영웅아임 히어로 더 스타디움,스타디움 에서 공연하는 화려하고 멋진 모습이 넘 감동이었어요 임영웅의 노래는 정말 내 가슴에 아직도 남아있네요
임영웅아임 히어로 더 스타디움,임영웅 영웅시대 임영웅은 사랑입니다 그래서 응원합니다 영웅시대와 언제까지나 함께 걸어가보아요
임영웅아임 히어로 더 스타디움,아티스트가 팬을 얼마나 사랑하고 위로를 주고 싶어 하는지 느껴진다
임영웅아임 히어로 더 스타디움,역시 임영웅 역대급 무대에 감동 입니다
임영웅아임 히어로 더 스타디움,너무너무 좋아요 최고의 영화에요
임영웅아임 히어로 더 스타디움,임영웅 빛나는 내가수 빛나는 내일을 응원합니다 사랑합니다 너무너무 좋아요 언제까지나 응원합니다
임영웅아임 히어로 더 스타디움,임영웅 믿고 보는 영화 너무 감동입니다 극장에서 보니 또 다른 매력이 넘쳐요
임영웅아임 히어로 더 스타디움,임영웅 역시 듣던대로 최고의 가수입니다 너무 멋졌어요
임영웅아임 히어로 더 스타디움,임영웅 아임 히어로 더 스타디움 그날의그감동 그대로 또 보고싶어요
임영웅아임 히어로 더 스타디움,이보다더좋을수는없다 최고의영화 임영웅사랑해 
임영웅아임 히어로 더 스타디움,왜 임영웅 인지를 보여주는 고퀄의 영화  음향 영상 내용까지 감동감동 차 관람하렴니다
임영웅아임 히어로 더 스타디움,임영웅 완벽한 무대 준비와 퍼포먼스 그리고 뛰어난 가창력은 물론이고 어디 하나 흠잡을데가 없는 최고의 아티스트라는 걸 이 영화를 보고 더 많이 느끼고 보는 내내 감동이었어요
임영웅아임 히어로 더 스타디움,영상도멋지고 음향도 최고 주인공은 천상계였어요
